Rank,Club,T_JJ,T_JG,T_JE,T_JP,T_GF,T_GC,T_Dif,T_PTS,H_JJ,H_JG,H_JE,H_JP,H_GF,H_GC,H_Dif,H_PTS,A_JJ,A_JG,A_JE,A_JP,A_GF,A_GC,A_Dif,A_PTS
1,Pachuca,17,12,2,3,30,15,15,38,8,6,2,0,14,5,9,20,9,6,0,3,16,10,6,18
2,UANL,17,10,3,4,30,20,10,33,8,5,1,2,15,10,5,16,9,5,2,2,15,10,5,17
3,Atlas,17,7,6,4,21,15,6,27,8,3,3,2,8,7,1,12,9,4,3,2,13,8,5,15
4,America,17,7,5,5,24,17,7,26,8,3,2,3,12,9,3,11,9,4,3,2,12,8,4,15
5,Puebla,17,7,5,5,25,19,6,26,8,2,5,1,11,9,2,11,9,5,0,4,14,10,4,15
6,Guadalajara,17,7,5,5,25,21,4,26,9,4,2,3,14,12,2,14,8,3,3,2,11,9,2,12
7,Monterrey,17,7,5,5,21,17,4,26,9,5,3,1,12,6,6,18,8,2,2,4,9,11,-2,8
8,Cruz Azul,17,7,4,6,20,17,3,25,9,4,0,5,9,10,-1,12,8,3,4,1,11,7,4,13
9,Necaxa,17,7,2,8,21,21,0,23,9,3,0,6,8,13,-5,9,8,4,2,2,13,8,5,14
10,Atletico,17,7,2,8,21,22,-1,23,9,4,1,4,10,10,0,13,8,3,1,4,11,12,-1,10
11,UNAM,17,6,4,7,24,21,3,22,8,4,2,2,14,7,7,14,9,2,2,5,10,14,-4,8
12,Mazatlan,17,6,3,8,20,24,-4,21,8,4,2,2,10,7,3,14,9,2,1,6,10,17,-7,7
13,Leon,17,5,6,6,17,22,-5,21,9,2,4,3,10,13,-3,10,8,3,2,3,7,9,-2,11
14,Santos,17,5,5,7,25,25,0,20,8,3,3,2,16,13,3,12,9,2,2,5,9,12,-3,8
15,Toluca,17,5,4,8,21,36,-15,19,9,2,2,5,12,19,-7,8,8,3,2,3,9,17,-8,11
16,Queretaro,17,3,8,6,18,21,-3,17,9,3,1,5,10,12,-2,10,8,0,7,1,8,9,-1,7
17,Tijuana,17,4,5,8,14,26,-12,17,8,3,4,1,10,8,2,13,9,1,1,7,4,18,-14,4
18,Juarez,17,3,2,12,10,28,-18,11,9,1,1,7,7,15,-8,4,8,2,1,5,3,13,-10,7
